text,sentiment
think might get today throat killing feel like lung,negative
really need turn swag time bed,neutral
meh almost didnt sleep aint finished anything im close cancel dokomi,negative
hey glorious morning monday animation mode,positive
wish u,positive
still working database trying decide want eat,neutral
love first monday may bank holiday httpplurkcomproxar,positive
thanks cheer back,positive
sooo noticable information_technology depend expression astatine itbut iodine know ipod isnt perfective,negative
alright dont want overdue lol funny nite nite,positive
watched white house dinner speech barack he many kind awesome,positive
hmz second popular page governmental site page fail,negative
hungryyyyyyy going eat traditional indian foodthe pakistani way woowoo hahaha _,positive
got paid nowhere near much thought would,neutral
im still lay_waste_to manchester unite lose ucl final,negative
_da_realest hehe hell im finna qet drankin damnit,negative
saw deforestationso surprised bad back moan back youlol,negative
sent one abrams surrounded weather,neutral
watching cartoon havent year eating breakfast program changed,neutral
also driving part could afford laptop also living roommate would save even,positive
byeeeee,neutral
im totally going bed right,neutral
much pain really dont feel good couldnt eat dinner,negative
true lol problem unfollowingnot huffy,positive
great reason ill beryllium trying discovery associate_in_nursing excuse go lanthanum show httpblipfmzdc,positive
opposed twitter talk people sl fun already way many way distract,positive
yeah trying send msg also trying put pic aint happening approve summit,negative
iodine wish yesterday washington friday,positive
happy mother day ang,positive
hehe yeah funny updating people random thing amusing,positive
neither firstbut u got ta go thru somethin first get lmaoi almost burnt house set str,negative
best check cant really see anything,positive
day hour work id really like job fabulous b,positive
wan na go dbsk oppas mirotic concert thailand really wan na go muchhhhh burst tear,neutral
fun read thanks brit make thing interesting funny whittled saint day four httpffimzgfk,positive
wonderful dayi going sleep well tonight,positive
feeling well astatine today ugh buzzword iodine go home,negative
goodknight twitterland happy mother day blockhead momma wonderful day,positive
nuthin much gettin ready head bk wrk n u,neutral
good morning twit let make today x better one start runnin,positive
already nooooooo,negative
youre london wow im near,positive
saying adieu papa,negative
hahah yeah problem tomorrow bday dinner terry dont think well see fight,negative
department_of_energy information_technology return sol hanker install sb,negative
quick answer put bleach wash start middle dont laugh,neutral
hey iodine buy porter cable piece set new drill hour_angle associate_in_nursing lightemitting_diode light approach trigger ohio im sol happy,positive
oops ignore last post meant direct message,negative
already got ticket thanks making sure though,positive
,neutral
think ill go enjoy sun beam againi love murder work,positive
ha im glad stopped raining umbrella broke today,neutral
thats bad forced watch must helpline call good thanx he asleep,neutral
well least good taste artcabinet apptsnot much,positive
har har swineflu everywhere httptwitpiccomjbo via,neutral
thanks amy video awesome see tmh he amazing bouncy bouncy bouncy,positive
lol ebay laugh nowjuuuuuust wait,neutral
worse case scenario ill take tomorrow still woke,neutral
really stuck f weather today might stay watch,neutral
ur funny_story gnight,positive
wine saginaki friend good time,positive
taylor swift joe jonas looked really good together im kinda sad broke,neutral
zeb napped hour already today asleep must growing fast,positive
lol got used talkin ya,positive
read picture dorian gray oscar wilde english easy try make,neutral
soooo schoolmaybe sickall week evil laugh,negative
hate gb ram use host gb virtual machine suck much,negative
house hunting next year fun,negative
lupos bit far methinks luv theyre hour way providence love providence,positive
_ii foggy,neutral
maybe going apartment shopping ashley,neutral
gadget show today today better,neutral
btw song youll always find ur way back home hannah montana,neutral
boo didnt answer text,neutral
paving road intelligent nobody gone exactly going come follow,neutral
awww iodine state iodine would change iodine propose attempt get inch touch w dres people lol,positive
sooo u gon cheat tell everybody twitter dont know trust anymore jk,negative
im sol happy iodine breeze_through final,positive
fkkk nurse coughing lung,neutral
holiday soo boring,negative
nice time little sisterbaby grown,positive
maybe hot date nice little cesna,positive
heading theatre show tonight im exited,positive
nope comin nite gurl,negative
awwwh im sorry hope fell better watch film,neutral
_ havent seen yet come dvd hehe haha,positive
dont worry man youll see much week last week,positive
wow away whilestupid lap top shopstill hope everyone well,neutral
better work work minute lunch work work work actually might dont work hard,neutral
tres depressed,negative
really dont like weather,negative
love observation yt video americium truly look forward visual_perception collection vid,positive
norwood house party haaaaaa yaaaaaaay smile,positive
mary hate maine iodine wana walmart information_technology butno one privation go,negative
dont wan na get bed wan na go back sleep open store work though,neutral
beach watching xmen origin drinking orange juice pulp,neutral
wifeyyyyyy likey u siky,neutral
thats great ill make sure get copy,positive
im trying put pic wont work,neutral
_ iodine wish return care maine,positive
going newbrunswick canada drive lol live far far away,neutral
know mark still one favorite boy ever nice adorable,positive
yeah big chill good food good music great weather cool day bro,positive
good afternoon sorted technical glitch rainy bh monday lazy day daughter menfolk round roast dinner,positive
wed man way yes time wake real lol,neutral
_meow yeah u better,neutral
yeah silly mistake end long day etc etc brand new plier,negative
wicked dvbs tuner card arrived although sure ill able get set ready fa cup final tomorrow,negative
heeey heeey go read,neutral
talk husband convert thats angstrom great present mommy,positive
iodine get angstrom replacement telephone text message call history gone iodine americium sad,negative
pulled walmart aunt got went fell asleep hour later r lol,neutral
love polaroid shame dont make film anymore,neutral
